Species,State,Impacted,Total,Perc
DCLI,Mortality,5,17,0.294117647
DSTO,Mortality,49,74,0.662162162
DSTR,Mortality,14,16,0.875
MCAV,Mortality,11,93,0.11827957
MMEA,Mortality,47,51,0.921568627
PAST,Mortality,7,96,0.072916667
SBOU,Mortality,14,110,0.127272727
SINT,Mortality,0,41,0
SSID,Mortality,3,62,0.048387097
DCLI,Disease,4,17,0.235294118
DSTO,Disease,24,74,0.324324324
DSTR,Disease,8,16,0.5
MCAV,Disease,29,93,0.311827957
MMEA,Disease,24,51,0.470588235
PAST,Disease,1,96,0.010416667
SBOU,Disease,14,110,0.127272727
SINT,Disease,0,41,0
SSID,Disease,0,62,0
DCLI,Buried,0,17,0
DSTO,Buried,3,74,0.040540541
DSTR,Buried,0,16,0
MCAV,Buried,0,93,0
MMEA,Buried,0,51,0
PAST,Buried,7,96,0.072916667
SBOU,Buried,7,110,0.063636364
SINT,Buried,4,41,0.097560976
SSID,Buried,6,62,0.096774194
DCLI,Bleaching,0,17,0
DSTO,Bleaching,1,74,0.013513514
DSTR,Bleaching,1,16,0.0625
MCAV,Bleaching,7,93,0.075268817
MMEA,Bleaching,11,51,0.215686275
PAST,Bleaching,15,96,0.15625
SBOU,Bleaching,2,110,0.018181818
SINT,Bleaching,19,41,0.463414634
SSID,Bleaching,8,62,0.129032258
DCLI,Normal,1,17,0.058823529
DSTO,Normal,3,74,0.040540541
DSTR,Normal,0,16,0
MCAV,Normal,23,93,0.247311828
MMEA,Normal,1,51,0.019607843
PAST,Normal,36,96,0.375
SBOU,Normal,12,110,0.109090909
SINT,Normal,3,41,0.073170732
SSID,Normal,24,62,0.387096774