Coral,Bleaching,Disease,Buried,States
HBNC1-CP-1-1,0,1,0,1
HBNC1-CP-1-2,0,0,0,0
HBNC1-CP-1-3,0,0,0,0
HBNC1-CP-1-4,0,0,5,5
HBNC1-CP-1-5,0,0,0,0
HBNC1-CP-1-6,0,0,0,0
HBNC1-CP-2-1,0,0,0,0
HBNC1-CP-2-2,0,0,0,0
HBNC1-CP-2-3,0,0,0,0
HBNC1-CP-3-1,0,0,0,0
HBNC1-CP-3-2,0,0,0,0
HBNC1-CP-3-3,0,0,0,0
HBNC1-CP-3-4,0,0,0,0
HBNC1-CP-3-5,0,0,0,0
HBSC1-CP-1-1,3,0,0,3
HBSC1-CP-1-2,0,0,0,0
HBSC1-CP-1-3,3,0,0,3
HBSC1-CP-1-4,0,1,0,1
HBSC1-CP-1-5,0,0,0,0
HBSC1-CP-1-6,0,0,0,0
HBSC1-CP-1-7,0,0,0,0
HBSC1-CP-1-8,0,0,0,0
HBSC1-CP-1-9,3,1,0,4
HBSC1-CP-1-10,0,0,0,0
HBSC1-CP-2-1,0,0,0,0
HBSC1-CP-2-2,0,1,0,1
HBSC1-CP-2-3,0,0,0,0
HBSC1-CP-2-4,0,1,0,1
HBSC1-CP-2-5,0,1,0,1
HBSC1-CP-2-6,0,0,0,0
HBSC1-CP-2-7,0,0,0,0
HBSC1-CP-2-8,0,0,0,0
HBSC1-CP-2-9,0,1,0,1
HBSC1-CP-2-10,0,0,0,0
HBSC1-CP-3-1,0,0,0,0
HBSC1-CP-3-2,0,1,0,1
HBSC1-CP-3-3,0,0,0,0
HBSC1-CP-3-4,3,0,0,3
HBSC1-CP-3-5,0,0,0,0
HBSC1-CP-3-6,0,0,0,0
HBSC1-CP-3-7,0,0,0,0
HBSC1-CP-3-8,0,0,0,0
HBSC1-CP-3-9,0,0,0,0
HBSC1-CP-3-10,0,0,0,0
HBS1-CP-1-1,0,0,0,0
HBS1-CP-1-2,0,0,0,0
HBS1-CP-1-3,0,0,0,0
HBS1-CP-1-4,0,0,0,0
HBS1-CP-1-5,0,0,0,0
HBS1-CP-1-6,0,0,0,0
HBS1-CP-1-7,0,0,0,0
HBS1-CP-1-8,0,0,0,0
HBS1-CP-2-1,3,0,5,8
HBS1-CP-2-2,0,0,0,0
HBS1-CP-2-3,0,0,0,0
HBS1-CP-2-4,0,0,0,0
HBS1-CP-2-5,0,0,0,0
HBS1-CP-3-1,0,0,0,0
HBS1-CP-3-2,0,0,0,0
HBS1-CP-3-3,0,0,0,0
HBS1-CP-3-4,0,0,0,0
HBS1-CP-3-5,0,0,0,0
HBS2-CP-1-1,0,0,5,5
HBS2-CP-1-2,0,0,0,0
HBS2-CP-1-3,0,0,0,0
HBS2-CP-1-4,0,0,0,0
HBS2-CP-1-5,0,0,0,0
HBS2-CP-2-1,0,0,0,0
HBS2-CP-2-2,0,1,0,1
HBS2-CP-2-3,0,0,0,0
HBS2-CP-2-4,0,0,0,0
HBS2-CP-2-5,0,0,0,0
HBS2-CP-2-6,0,0,0,0
HBS2-CP-2-7,0,0,0,0
HBS2-CP-2-8,0,0,0,0
HBS2-CP-2-9,0,1,0,1
HBS2-CP-2-10,0,0,0,0
HBS2-CP-3-1,0,0,0,0
HBS2-CP-3-2,0,0,0,0
HBS2-CP-3-3,0,0,0,0
HBS2-CP-3-4,0,1,0,1
HBS2-CP-3-5,0,0,0,0
HBS2-CP-3-6,0,0,5,5
HBS4-CR-1-1,3,0,0,3
HBS4-CR-1-2,0,0,0,0
HBS4-CR-1-3,0,0,0,0
HBS4-CR-1-4,0,0,0,0
HBS4-CR-1-5,0,0,0,0
HBS4-CR-1-6,0,0,0,0
HBS4-CR-1-7,0,0,0,0
HBS4-CR-1-8,0,0,0,0
HBS4-CR-1-9,0,0,0,0
HBS4-CR-2-1,0,0,0,0
HBS4-CR-2-2,0,0,0,0
HBS4-CR-2-3,0,1,0,1
HBS4-CR-2-4,0,0,0,0
HBS4-CR-2-5,0,0,0,0
HBS4-CR-2-6,0,0,0,0
HBS4-CR-2-7,0,1,0,1
HBS4-CR-2-8,0,0,0,0
HBS4-CR-3-1,0,0,5,5
HBS4-CR-3-2,0,1,0,1
HBS4-CR-3-3,0,0,0,0
HBS4-CR-3-4,0,1,0,1
HBS4-CR-3-5,0,1,0,1
HBS4-CR-3-6,0,0,5,5
HBS4-CR-3-7,0,0,0,0
HBS4-CR-3-8,0,0,0,0
R2S1-RR-1-1,3,0,0,3
R2S1-RR-1-2,0,0,0,0
R2S1-RR-1-3,0,1,0,1
R2S1-RR-1-4,0,1,0,1
R2S1-RR-1-5,0,1,0,1
R2S1-RR-1-6,3,0,0,3
R2S1-RR-1-7,0,0,0,0
R2S1-RR-1-8,0,0,0,0
R2S1-RR-1-9,0,1,0,1
R2S1-RR-1-10,0,0,0,0
R2S1-RR-2-1,0,1,5,6
R2S1-RR-2-2,0,0,0,0
R2S1-RR-2-3,0,1,0,1
R2S1-RR-2-4,0,0,0,0
R2S1-RR-2-5,0,0,0,0
R2S1-RR-2-6,0,1,0,1
R2S1-RR-2-7,0,0,0,0
R2S1-RR-2-8,3,0,0,3
R2S1-RR-2-9,0,0,0,0
R2S1-RR-3-1,0,0,0,0
R2S1-RR-3-2,0,1,0,1
R2S1-RR-3-3,0,0,0,0
R2S1-RR-3-4,0,0,0,0
R2S1-RR-3-5,0,0,0,0
R2S1-RR-3-6,0,0,0,0
R2S1-RR-3-7,0,0,0,0
R2S1-RR-3-8,0,0,0,0
R2S1-RR-3-9,0,0,0,0
HBS3-CP-1-1,0,1,0,1
HBS3-CP-1-2,0,1,0,1
HBS3-CP-1-3,0,1,0,1
HBS3-CP-1-4,0,1,0,1
HBS3-CP-1-5,0,0,0,0
HBS3-CP-1-6,0,0,0,0
HBS3-CP-1-7,0,0,0,0
HBS3-CP-1-8,0,0,5,5
HBS3-CP-1-9,0,0,0,0
HBS3-CP-2-1,0,0,0,0
HBS3-CP-2-2,3,0,0,3
HBS3-CP-2-3,0,0,0,0
HBS3-CP-2-4,0,1,0,1
HBS3-CP-2-5,0,1,0,1
HBS3-CP-2-6,0,0,0,0
HBS3-CP-2-7,0,0,0,0
HBS3-CP-2-8,0,0,0,0
HBS3-CP-2-9,0,0,0,0
HBS3-CP-2-10,3,0,0,3
HBS3-CP-3-1,0,1,0,1
HBS3-CP-3-2,0,0,0,0
HBS3-CP-3-3,0,0,0,0
HBS3-CP-3-4,3,1,0,4
HBS3-CP-3-5,0,0,0,0
HBS3-CP-3-6,0,0,0,0
HBS3-CP-3-7,0,1,0,1
HBS3-CP-3-8,0,0,0,0
HBS3-CP-3-9,0,0,5,5
HBS3-CP-3-10,0,0,0,0
R2SC1-RR-1-1,0,0,0,0
R2SC1-RR-1-2,0,1,0,1
R2SC1-RR-1-3,3,1,0,4
R2SC1-RR-1-4,0,1,0,1
R2SC1-RR-1-5,0,0,0,0
R2SC1-RR-1-6,0,1,0,1
R2SC1-RR-1-7,0,0,0,0
R2SC1-RR-1-8,0,0,0,0
R2SC1-RR-1-9,0,1,0,1
R2SC1-RR-1-10,0,1,0,1
R2SC1-RR-2-1,0,1,0,1
R2SC1-RR-2-2,0,0,0,0
R2SC1-RR-2-3,0,0,0,0
R2SC1-RR-2-4,0,0,0,0
R2SC1-RR-2-5,0,0,0,0
R2SC1-RR-2-6,0,1,0,1
R2SC1-RR-2-7,0,0,0,0
R2SC1-RR-2-8,0,0,0,0
R2SC1-RR-2-9,0,0,0,0
R2SC1-RR-2-10,0,0,0,0
R2SC1-RR-3-1,0,1,0,1
R2SC1-RR-3-2,0,0,0,0
R2SC1-RR-3-3,0,0,0,0
R2SC1-RR-3-4,0,0,0,0
R2SC1-RR-3-5,0,1,0,1
R2SC1-RR-3-6,0,0,0,0
R2SC1-RR-3-7,0,0,0,0
R2SC1-RR-3-8,0,0,0,0
R2SC1-RR-3-9,0,0,0,0
R2SC1-RR-3-10,0,0,0,0
HBN1-CR-1-1,0,0,5,5
HBN1-CR-1-2,0,0,5,5
HBN1-CR-1-3,0,0,5,5
HBN1-CR-1-4,0,0,5,5
HBN1-CR-1-5,0,0,5,5
HBN1-CR-1-6,0,0,5,5
HBN1-CR-1-7,0,0,5,5
HBN1-CR-1-8,0,0,5,5
HBN1-CR-1-9,0,0,5,5
HBN1-CR-2-1,0,0,5,5
HBN1-CR-2-2,0,0,5,5
HBN1-CR-2-3,0,0,5,5
HBN1-CR-2-4,0,0,5,5
HBN1-CR-2-5,0,0,5,5
HBN1-CR-2-6,0,0,5,5
HBN1-CR-3-1,0,0,5,5
HBN1-CR-3-2,0,0,5,5
HBN1-CR-3-3,0,0,5,5
HBN1-CR-3-4,0,0,5,5
HBN1-CR-3-5,0,0,0,0
HBN1-CR-3-6,0,0,0,0
HBN1-CR-3-7,0,0,0,0
HBN1-CR-3-8,0,0,5,5
HBN2-CR-1-1,0,0,5,5
HBN2-CR-1-2,0,0,0,0
HBN2-CR-1-3,0,0,0,0
HBN2-CR-1-4,0,0,0,0
HBN2-CR-1-5,0,0,5,5
HBN2-CR-2-1,0,0,0,0
HBN2-CR-2-2,0,0,0,0
HBN2-CR-2-3,0,0,5,5
HBN2-CR-2-4,0,0,5,5
HBN2-CR-3-1,0,0,5,5
HBN2-CR-3-2,0,0,5,5
HBN2-CR-3-3,3,0,5,8
HBN2-CR-3-4,0,0,5,5
HBN2-CR-3-5,0,0,5,5
HBN2-CR-3-6,0,0,5,5
HBN3-CP-1-1,0,0,0,0
HBN3-CP-1-2,0,0,0,0
HBN3-CP-1-3,0,0,0,0
HBN3-CP-1-4,0,0,0,0
HBN3-CP-1-5,0,0,0,0
HBN3-CP-1-6,0,0,0,0
HBN3-CP-1-7,0,0,0,0
HBN3-CP-1-8,0,0,0,0
HBN3-CP-2-1,0,0,5,5
HBN3-CP-2-2,0,0,0,0
HBN3-CP-2-3,0,0,0,0
HBN3-CP-2-4,3,0,0,3
HBN3-CP-2-5,0,0,0,0
HBN3-CP-2-6,0,0,0,0
HBN3-CP-2-7,0,1,0,1
HBN3-CP-2-8,0,0,0,0
HBN3-CP-2-9,0,0,0,0
HBN3-CP-2-10,0,0,0,0
HBN3-CP-3-1,0,0,0,0
HBN3-CP-3-2,0,0,0,0
HBN3-CP-3-3,0,0,0,0
HBN3-CP-3-4,0,0,0,0
HBN3-CP-3-5,0,0,0,0
HBN3-CP-3-6,0,0,0,0
HBN3-CP-3-7,0,0,0,0
HBN3-CP-3-8,0,0,0,0
HBN3-CP-3-9,0,0,0,0
R2N1-RR-1-1,3,0,0,3
R2N1-RR-1-2,3,0,0,3
R2N1-RR-1-3,0,1,0,1
R2N1-RR-1-4,0,1,0,1
R2N1-RR-1-5,0,0,0,0
R2N1-RR-1-6,0,0,0,0
R2N1-RR-1-7,0,0,0,0
R2N1-RR-1-8,0,0,0,0
R2N1-RR-1-9,0,0,0,0
R2N1-RR-1-10,0,1,0,1
R2N1-RR-2-1,0,0,0,0
R2N1-RR-2-2,0,0,0,0
R2N1-RR-2-3,0,0,0,0
R2N1-RR-2-4,0,1,0,1
R2N1-RR-2-5,0,0,0,0
R2N1-RR-2-6,0,0,5,5
R2N1-RR-2-7,0,0,0,0
R2N1-RR-2-8,0,1,0,1
R2N1-RR-2-9,0,0,0,0
R2N1-RR-2-10,3,0,0,3
R2N1-RR-3-1,0,0,0,0
R2N1-RR-3-2,0,0,0,0
R2N1-RR-3-3,0,0,0,0
R2N1-RR-3-4,0,0,0,0
R2N1-RR-3-5,0,1,0,1
R2N1-RR-3-6,3,1,0,4
R2N1-RR-3-7,0,0,0,0
R2N1-RR-3-8,0,0,0,0
R2N1-RR-3-9,3,0,0,3
R2N1-RR-3-10,0,0,0,0
R2NC1-LR-1-1,3,0,0,3
R2NC1-LR-1-2,0,0,0,0
R2NC1-LR-1-3,0,0,0,0
R2NC1-LR-1-4,0,0,0,0
R2NC1-LR-1-5,3,0,0,3
R2NC1-LR-1-6,3,0,0,3
R2NC1-LR-1-7,3,0,0,3
R2NC1-LR-1-8,3,0,0,3
R2NC1-LR-1-9,0,0,0,0
R2NC1-LR-1-10,3,0,0,3
R2NC1-LR-2-1,0,0,0,0
R2NC1-LR-2-2,0,0,0,0
R2NC1-LR-2-3,0,0,0,0
R2NC1-LR-2-4,3,0,0,3
R2NC1-LR-2-5,0,0,0,0
R2NC1-LR-2-6,3,0,0,3
R2NC1-LR-2-7,3,0,0,3
R2NC1-LR-2-8,3,0,0,3
R2NC1-LR-2-9,0,0,0,0
R2NC1-LR-2-10,0,0,0,0
R2NC1-LR-3-1,0,0,0,0
R2NC1-LR-3-2,3,0,0,3
R2NC1-LR-3-3,0,0,0,0
R2NC1-LR-3-4,0,0,0,0
R2NC1-LR-3-5,0,1,0,1
R2NC1-LR-3-6,0,1,0,1
R2NC1-LR-3-7,0,0,0,0
R2NC1-LR-3-8,0,1,0,1
R2NC1-LR-3-9,0,0,0,0
R2NC1-LR-3-10,0,0,0,0
R2NC2-RR-1-1,0,0,0,0
R2NC2-RR-1-2,0,0,0,0
R2NC2-RR-1-3,0,1,0,1
R2NC2-RR-1-4,0,0,0,0
R2NC2-RR-1-5,0,1,0,1
R2NC2-RR-1-6,3,0,0,3
R2NC2-RR-1-7,3,0,0,3
R2NC2-RR-1-8,0,0,0,0
R2NC2-RR-1-9,0,1,0,1
R2NC2-RR-1-10,0,0,0,0
R2NC2-RR-2-1,0,0,0,0
R2NC2-RR-2-2,0,0,0,0
R2NC2-RR-2-3,0,0,0,0
R2NC2-RR-2-4,0,0,0,0
R2NC2-RR-2-5,0,1,0,1
R2NC2-RR-2-6,0,0,0,0
R2NC2-RR-2-7,0,0,0,0
R2NC2-RR-2-8,0,1,0,1
R2NC2-RR-2-9,0,0,0,0
R2NC2-RR-2-10,0,0,0,0
R2NC2-RR-3-1,0,0,0,0
R2NC2-RR-3-2,0,1,0,1
R2NC2-RR-3-3,3,0,0,3
R2NC2-RR-3-4,0,1,0,1
R2NC2-RR-3-5,3,0,0,3
R2NC2-RR-3-6,3,0,0,3
R2NC2-RR-3-7,0,0,0,0
R2NC2-RR-3-8,0,0,0,0
R2NC2-RR-3-9,0,0,0,0
R2NC2-RR-3-10,0,1,0,1
R2NC3-LR-1-1,0,0,0,0
R2NC3-LR-1-2,0,0,0,0
R2NC3-LR-1-3,0,0,0,0
R2NC3-LR-1-4,0,0,0,0
R2NC3-LR-1-5,0,0,0,0
R2NC3-LR-1-6,0,0,0,0
R2NC3-LR-1-7,0,0,0,0
R2NC3-LR-1-8,0,1,0,1
R2NC3-LR-1-9,0,0,0,0
R2NC3-LR-1-10,0,1,0,1
R2NC3-LR-2-1,0,0,0,0
R2NC3-LR-2-2,0,0,0,0
R2NC3-LR-2-3,0,0,0,0
R2NC3-LR-2-4,0,0,0,0
R2NC3-LR-2-5,0,0,0,0
R2NC3-LR-2-6,0,0,0,0
R2NC3-LR-2-7,0,0,0,0
R2NC3-LR-2-8,0,0,0,0
R2NC3-LR-2-9,0,0,0,0
R2NC3-LR-2-10,0,0,0,0
R2S2-LR-1-1,0,0,0,0
R2S2-LR-1-2,0,1,0,1
R2S2-LR-1-3,0,1,0,1
R2S2-LR-1-4,0,1,0,1
R2S2-LR-1-5,0,0,0,0
R2S2-LR-1-6,0,1,0,1
R2S2-LR-1-7,0,0,0,0
R2S2-LR-1-8,0,0,0,0
R2S2-LR-2-1,0,1,0,1
R2S2-LR-2-2,0,0,5,5
R2S2-LR-2-3,3,0,0,3
R2S2-LR-2-4,0,1,0,1
R2S2-LR-2-5,0,0,0,0
R2S2-LR-2-6,0,1,0,1
R2S2-LR-2-7,0,0,0,0
R2S2-LR-2-8,0,0,0,0
R2S2-LR-3-1,0,1,0,1
R2S2-LR-3-2,3,0,0,3
R2S2-LR-3-3,0,1,0,1
R2S2-LR-3-4,3,0,0,3
R2S2-LR-3-5,0,0,0,0
R2S2-LR-3-6,0,1,0,1
R2S2-LR-3-7,0,1,0,1
R2S2-LR-3-8,0,0,0,0
R2SC2-LR-1-1,0,1,0,1
R2SC2-LR-1-2,0,0,0,0
R2SC2-LR-1-3,0,0,0,0
R2SC2-LR-1-4,3,0,0,3
R2SC2-LR-1-5,0,1,0,1
R2SC2-LR-1-6,0,0,0,0
R2SC2-LR-1-7,0,0,0,0
R2SC2-LR-2-1,3,1,0,4
R2SC2-LR-2-2,0,0,0,0
R2SC2-LR-2-3,3,1,0,4
R2SC2-LR-2-4,3,0,0,3
R2SC2-LR-2-5,0,0,0,0
R2SC2-LR-2-6,0,0,0,0
R2SC2-LR-2-7,0,1,0,1
R2SC2-LR-2-8,0,0,0,0
R2SC2-LR-3-1,0,0,0,0
R2SC2-LR-3-2,0,0,0,0
R2SC2-LR-3-3,0,0,0,0
R2SC2-LR-3-4,0,0,0,0
R2SC2-LR-3-5,0,0,0,0
R2SC2-LR-3-6,3,0,0,3
R2SC2-LR-3-7,3,0,0,3
R2SC2-LR-3-8,0,0,0,0
R2SC2-LR-3-9,0,1,0,1
R2SC2-LR-3-10,0,1,0,1
R2N2-LR-1-1,3,0,0,3
R2N2-LR-1-2,0,0,0,0
R2N2-LR-1-3,0,0,0,0
R2N2-LR-1-4,0,0,5,5
R2N2-LR-1-5,0,0,0,0
R2N2-LR-1-6,0,0,0,0
R2N2-LR-1-7,0,0,5,5
R2N2-LR-1-8,0,0,0,0
R2N2-LR-1-9,0,0,0,0
R2N2-LR-1-10,0,0,0,0
R2N2-LR-2-1,0,0,5,5
R2N2-LR-2-2,0,0,0,0
R2N2-LR-2-3,0,0,0,0
R2N2-LR-2-4,0,1,0,1
R2N2-LR-2-5,0,0,0,0
R2N2-LR-2-6,0,0,0,0
R2N2-LR-3-1,0,1,0,1
R2N2-LR-3-2,0,0,0,0
R2N2-LR-3-3,0,0,0,0
R2N2-LR-3-4,0,1,0,1
R2N2-LR-3-5,0,0,0,0
R2N2-LR-3-6,0,0,5,5
R2N2-LR-3-7,3,0,0,3
R2N2-LR-3-8,0,0,0,0
R2N2-LR-3-9,0,0,0,0
R2NC3-LR-3-1,0,0,0,0
R2NC3-LR-3-2,0,0,0,0
R2NC3-LR-3-3,0,0,0,0
R2NC3-LR-3-4,0,0,0,0
R2NC3-LR-3-5,0,0,0,0
R2NC3-LR-3-6,0,0,0,0
R2NC3-LR-3-7,0,0,0,0
R2NC3-LR-3-8,0,0,0,0
R2NC3-LR-3-9,0,0,0,0
R2NC3-LR-3-10,0,0,0,0
R3S1-CP-1-1,0,0,0,0
R3S1-CP-1-2,0,0,0,0
R3S1-CP-1-3,0,0,0,0
R3S1-CP-1-4,0,0,0,0
R3S1-CP-1-5,0,0,0,0
R3S1-CP-1-6,0,0,0,0
R3S1-CP-2-1,0,0,0,0
R3S1-CP-2-2,0,0,0,0
R3S1-CP-2-3,0,0,0,0
R3S1-CP-2-4,0,0,0,0
R3S1-CP-2-5,3,0,0,3
R3S1-CP-2-6,0,0,0,0
R3S1-CP-3-1,0,0,0,0
R3S1-CP-3-2,0,0,0,0
R3S1-CP-3-3,3,0,0,3
R3S1-CP-3-4,0,0,0,0
R3S1-CP-3-5,0,0,0,0
R3S1-CP-3-6,0,0,0,0
R3S1-CP-3-7,0,0,0,0
R3S2-LR-1-1,3,0,0,3
R3S2-LR-1-2,0,0,0,0
R3S2-LR-1-3,0,0,0,0
R3S2-LR-1-4,0,0,0,0
R3S2-LR-1-5,0,0,0,0
R3S2-LR-1-6,0,0,0,0
R3S2-LR-1-7,0,1,0,1
R3S2-LR-2-1,0,0,0,0
R3S2-LR-2-2,0,0,0,0
R3S2-LR-2-3,0,0,0,0
R3S2-LR-2-4,0,0,0,0
R3S2-LR-2-5,0,0,0,0
R3S2-LR-2-6,0,0,0,0
R3S2-LR-2-7,0,0,0,0
R3S2-LR-2-8,0,1,0,1
R3S2-LR-3-1,3,0,0,3
R3S2-LR-3-2,0,0,0,0
R3S2-LR-3-3,0,0,0,0
R3S2-LR-3-4,0,0,0,0
R3S2-LR-3-5,0,0,0,0
R3S2-LR-3-6,0,0,0,0
R3S2-LR-3-7,0,1,0,1
R3S2-LR-3-8,3,0,5,8
R3S2-LR-3-9,0,0,0,0
R3S2-LR-3-10,0,0,0,0
R3S3-SG-1-1,0,1,0,1
R3S3-SG-1-2,0,0,0,0
R3S3-SG-1-3,0,0,0,0
R3S3-SG-1-4,3,0,0,3
R3S3-SG-1-5,0,0,0,0
R3S3-SG-1-6,0,1,0,1
R3S3-SG-1-7,0,1,0,1
R3S3-SG-1-8,0,0,0,0
R3S3-SG-2-1,0,0,0,0
R3S3-SG-2-2,3,0,0,3
R3S3-SG-2-3,3,0,0,3
R3S3-SG-2-4,0,0,0,0
R3S3-SG-2-5,0,0,0,0
R3S3-SG-2-6,3,0,0,3
R3S3-SG-2-7,3,1,0,4
R3S3-SG-2-8,0,1,0,1
R3S3-SG-2-9,3,1,0,4
R3S3-SG-3-1,0,0,0,0
R3S3-SG-3-2,3,0,0,3
R3S3-SG-3-3,0,0,0,0
R3S3-SG-3-4,0,0,0,0
R3S3-SG-3-5,0,0,0,0
R3S3-SG-3-6,0,1,0,1
R3S3-SG-3-7,0,1,0,1
R3S3-SG-3-8,0,0,0,0
R3N1-LR-1-1,0,0,0,0
R3N1-LR-1-2,0,0,0,0
R3N1-LR-1-3,0,0,0,0
R3N1-LR-1-4,0,0,0,0
R3N1-LR-1-5,0,0,0,0
R3N1-LR-1-6,0,0,0,0
R3N1-LR-1-7,0,0,0,0
R3N1-LR-2-1,0,0,5,5
R3N1-LR-2-2,0,0,5,5
R3N1-LR-2-3,0,0,0,0
R3N1-LR-2-4,3,0,5,8
R3N1-LR-2-5,0,0,0,0
R3N1-LR-2-6,0,0,5,5
R3N1-LR-2-7,0,0,0,0
R3N1-LR-2-8,0,0,0,0
R3N1-LR-3-1,3,0,0,3
R3N1-LR-3-2,0,0,5,5
R3N1-LR-3-3,0,0,0,0
R3N1-LR-3-4,0,0,0,0
R3N1-LR-3-5,0,0,0,0
R3N1-LR-3-6,0,0,0,0
R3N1-LR-3-7,0,0,0,0
R3N1-LR-3-8,3,0,5,8
R3SC2-LR-1-1,0,0,0,0
R3SC2-LR-1-2,0,0,0,0
R3SC2-LR-1-3,0,0,0,0
R3SC2-LR-1-4,0,0,0,0
R3SC2-LR-1-5,0,0,0,0
R3SC2-LR-1-6,0,1,0,1
R3SC2-LR-1-7,0,0,0,0
R3SC2-LR-1-8,0,0,0,0
R3SC2-LR-2-1,0,0,0,0
R3SC2-LR-2-2,0,0,0,0
R3SC2-LR-2-3,0,0,0,0
R3SC2-LR-2-4,0,0,0,0
R3SC2-LR-2-5,0,0,0,0
R3SC2-LR-2-6,0,0,0,0
R3SC2-LR-2-7,0,0,0,0
R3SC2-LR-3-1,0,0,0,0
R3SC2-LR-3-2,0,0,0,0
R3SC2-LR-3-3,0,1,0,1
R3SC2-LR-3-4,0,0,0,0
R3SC2-LR-3-5,0,1,0,1
R3SC2-LR-3-6,0,0,0,0
R3SC2-LR-3-7,0,0,0,0
R3SC2-LR-3-8,0,0,0,0
R3SC3-SG-1-1,0,0,0,0
R3SC3-SG-1-2,0,1,0,1
R3SC3-SG-1-3,0,0,0,0
R3SC3-SG-1-4,0,0,0,0
R3SC3-SG-1-5,0,0,0,0
R3SC3-SG-1-6,0,0,0,0
R3SC3-SG-1-7,0,0,0,0
R3SC3-SG-2-1,0,0,0,0
R3SC3-SG-2-2,0,1,0,1
R3SC3-SG-2-3,0,0,0,0
R3SC3-SG-2-4,0,0,0,0
R3SC3-SG-2-5,0,0,0,0
R3SC3-SG-2-6,0,0,0,0
R3SC3-SG-2-7,0,0,0,0
R3SC3-SG-2-8,0,0,0,0
R3SC3-SG-2-9,0,0,0,0
R3SC3-SG-3-1,0,0,0,0
R3SC3-SG-3-2,3,0,0,3
R3SC3-SG-3-3,0,0,0,0
R3SC3-SG-3-4,0,1,0,1
R3SC3-SG-3-5,0,0,0,0
R3SC3-SG-3-6,0,0,0,0
R3SC3-SG-3-7,0,1,0,1
R3SC3-SG-3-8,0,1,0,1
R3SC3-SG-3-9,0,0,0,0
R3NC1-LR-1-1,0,0,0,0
R3NC1-LR-1-2,0,0,0,0
R3NC1-LR-1-3,3,0,0,3
R3NC1-LR-1-4,0,0,0,0
R3NC1-LR-1-5,0,0,0,0
R3NC1-LR-1-6,0,0,0,0
R3NC1-LR-1-7,0,1,0,1
R3NC1-LR-2-1,0,0,0,0
R3NC1-LR-2-2,0,0,0,0
R3NC1-LR-2-3,0,0,0,0
R3NC1-LR-2-4,0,0,0,0
R3NC1-LR-2-5,0,0,0,0
R3NC1-LR-2-6,0,0,0,0
R3NC1-LR-2-7,0,0,0,0
R3NC1-LR-3-1,0,0,0,0
R3NC1-LR-3-2,3,0,0,3
R3NC1-LR-3-3,3,1,0,4
R3NC1-LR-3-4,0,0,0,0
R3NC1-LR-3-5,0,1,0,1
R3NC1-LR-3-6,0,1,0,1
R3NC1-LR-3-7,0,0,0,0
R3NC1-LR-3-8,0,0,0,0
R3NC1-LR-3-9,0,0,0,0
R3NC1-LR-3-10,3,0,0,3
R3SC1-CP-1-1,0,0,0,0
R3SC1-CP-1-2,0,1,0,1
R3SC1-CP-1-3,0,0,0,0
R3SC1-CP-1-4,0,0,0,0
R3SC1-CP-1-5,0,0,0,0
R3SC1-CP-1-6,0,0,0,0
R3SC1-CP-1-7,3,0,0,3
R3SC1-CP-1-8,0,0,0,0
R3SC1-CP-1-9,0,0,0,0
R3SC1-CP-1-10,0,0,0,0
R3SC1-CP-2-1,0,1,0,1
R3SC1-CP-2-2,0,1,0,1
R3SC1-CP-2-3,0,0,0,0
R3SC1-CP-2-4,0,0,0,0
R3SC1-CP-2-5,0,0,0,0
R3SC1-CP-2-6,0,0,0,0
R3SC1-CP-2-7,0,1,0,1
R3SC1-CP-2-8,0,0,0,0
R3SC1-CP-3-1,3,0,0,3
R3SC1-CP-3-2,3,0,0,3
R3SC1-CP-3-3,3,0,0,3
R3SC1-CP-3-4,0,0,0,0
R3SC1-CP-3-5,0,0,0,0
R3SC1-CP-3-6,0,0,0,0
R3SC1-CP-3-7,0,0,0,0